オーダーID,利用者ID,利用者氏名,利用者区分,受付番号,決済ステータス,決済金額,備考2,氏名
ORD-AA10000000AA-0000,U07000,削除後の訂正名,一般,R400000,決済済,9001,受付/東京オンAB10-20000/確認済,削除後の訂正名
ORD-HD10000137FL-0001,U07001,鈴木 花子,優待,R400003,決済済,3055,受付/大阪オンBC11-20001/確認済,鈴木 花子
ORD-OG10000274KW-0002,U07002,高橋 次郎,法人,R400006,決済済,3110,受付/名古屋オンCD12-20002/確認済,高橋 次郎
ORD-VJ10000411PH-0003,U07003,田中 三郎,一般,R400009,決済済,3165,受付/福岡オンDE13-20003/確認済,田中 三郎
ORD-CM10000548US-0004,U07004,伊藤 良子,優待,R400012,決済済,3220,受付/札幌オンEF14-20004/確認済,伊藤 良子
ORD-JP10000685ZD-0005,U07005,渡辺 健,法人,R400015,決済済,3275,受付/仙台オンFG15-20005/確認済,渡辺 健
ORD-QS10000822EO-0006,U07006,山本 明,一般,R400018,決済済,3330,受付/広島オンGH16-20006/確認済,山本 明
ORD-XV10000959JZ-0007,U07007,中村 誠,優待,R400021,決済済,3385,受付/高松オンHI17-20007/確認済,中村 誠
ORD-EY10001096OK-0008,U07008,小林 舞,法人,R400024,決済済,3440,受付/東京オンIJ18-20008/確認済,小林 舞
ORD-LB10001233TV-0009,U07009,加藤 涼,一般,R400027,決済済,3495,受付/大阪オンJK19-20009/確認済,加藤 涼
ORD-SE10001370YG-0010,U07010,佐藤 一郎,優待,R400030,決済済,3550,受付/名古屋オンKL20-20010/確認済,佐藤 一郎
ORD-ZH10001507DR-0011,U07011,鈴木 花子,法人,R400033,決済済,3605,受付/福岡オンLM21-20011/確認済,鈴木 花子
ORD-GK10001644IC-0012,U07012,高橋 次郎,一般,R400036,決済済,3660,受付/札幌オンMN22-20012/確認済,高橋 次郎
ORD-NN10001781NN-0013,U07013,田中 三郎,優待,R400039,決済済,3715,受付/仙台オンNO23-20013/確認済,田中 三郎
ORD-UQ10001918SY-0014,U07014,伊藤 良子,法人,R400042,決済済,3770,受付/広島オンOP24-20014/確認済,伊藤 良子
ORD-BT10002055XJ-0015,U07015,渡辺 健,一般,R400045,決済済,3825,受付/高松オンPQ25-20015/確認済,渡辺 健
ORD-IW10002192CU-0016,U07016,山本 明,優待,R400048,決済済,3880,受付/東京オンQR26-20016/確認済,山本 明
ORD-PZ10002329HF-0017,U07017,中村 誠,法人,R400051,決済済,3935,受付/大阪オンRS27-20017/確認済,中村 誠
ORD-WC10002466MQ-0018,U07018,小林 舞,一般,R400054,決済済,3990,受付/名古屋オンST28-20018/確認済,小林 舞
ORD-DF10002603RB-0019,U07019,加藤 涼,優待,R400057,決済済,4045,受付/福岡オンTU29-20019/確認済,加藤 涼
ORD-KI10002740WM-0020,U07020,送信後の訂正名,法人,R400060,決済済,9000,受付/札幌オンUV30-20020/確認済,送信後の訂正名
ORD-RL10002877BX-0021,U07021,未送信の訂正名,一般,R400063,決済済,7300,受付/仙台オンVW31-20021/確認済,未送信の訂正名
ORD-YO10003014GI-0022,U07022,部分差替 新名,優待,R400066,決済済,3333,受付/広島オンWX32-20022/確認済,部分差替 新名
ORD-MU10003288QE-0024,U07024,伊藤 良子,一般,R400072,決済済,4320,受付/東京オンYZ34-20024/確認済,伊藤 良子
ORD-TX10003425VP-0025,U07025,渡辺 健,優待,R400075,決済済,4375,受付/大阪オンZB35-20025/確認済,渡辺 健
ORD-AA10003562AA-0026,U07026,山本 明,法人,R400078,決済済,4430,受付/名古屋オンAC36-20026/確認済,山本 明
ORD-HD10003699FL-0027,U07027,中村 誠,一般,R400081,決済済,4485,受付/福岡オンBD37-20027/確認済,中村 誠
ORD-OG10003836KW-0028,U07028,小林 舞,優待,R400084,決済済,4540,受付/札幌オンCE38-20028/確認済,小林 舞
ORD-VJ10003973PH-0029,U07029,加藤 涼,法人,R400087,決済済,4595,受付/仙台オンDF39-20029/確認済,加藤 涼
ORD-CM10004110US-0030,U07030,佐藤 一郎,一般,R400090,決済済,4650,受付/広島オンEG40-20030/確認済,佐藤 一郎
ORD-JP10004247ZD-0031,U07031,鈴木 花子,優待,R400093,決済済,4705,受付/高松オンFH41-20031/確認済,鈴木 花子
ORD-QS10004384EO-0032,U07032,高橋 次郎,法人,R400096,決済済,4760,受付/東京オンGI42-20032/確認済,高橋 次郎
ORD-XV10004521JZ-0033,U07033,田中 三郎,一般,R400099,決済済,4815,受付/大阪オンHJ43-20033/確認済,田中 三郎
ORD-EY10004658OK-0034,U07034,伊藤 良子,優待,R400102,決済済,4870,受付/名古屋オンIK44-20034/確認済,伊藤 良子
ORD-LB10004795TV-0035,U07035,渡辺 健,法人,R400105,決済済,4925,受付/福岡オンJL45-20035/確認済,渡辺 健
ORD-SE10004932YG-0036,U07036,山本 明,一般,R400108,決済済,4980,受付/札幌オンKM46-20036/確認済,山本 明
ORD-ZH10005069DR-0037,U07037,中村 誠,優待,R400111,決済済,5035,受付/仙台オンLN47-20037/確認済,中村 誠
ORD-GK10005206IC-0038,U07038,小林 舞,法人,R400114,決済済,5090,受付/広島オンMO48-20038/確認済,小林 舞
ORD-NN10005343NN-0039,U07039,加藤 涼,一般,R400117,決済済,5145,受付/高松オンNP49-20039/確認済,加藤 涼
ORD-UQ10005480SY-0040,U07040,佐藤 一郎,優待,R400120,決済済,5200,受付/東京オンOQ50-20040/確認済,佐藤 一郎
ORD-BT10005617XJ-0041,U07041,鈴木 花子,法人,R400123,決済済,5255,受付/大阪オンPR51-20041/確認済,鈴木 花子
ORD-IW10005754CU-0042,U07042,高橋 次郎,一般,R400126,決済済,5310,受付/名古屋オンQS52-20042/確認済,高橋 次郎
ORD-PZ10005891HF-0043,U07043,田中 三郎,優待,R400129,決済済,5365,受付/福岡オンRT53-20043/確認済,田中 三郎
ORD-WC10006028MQ-0044,U07044,伊藤 良子,法人,R400132,決済済,5420,受付/札幌オンSU54-20044/確認済,伊藤 良子
ORD-DF10006165RB-0045,U07045,渡辺 健,一般,R400135,決済済,5475,受付/仙台オンTV55-20045/確認済,渡辺 健
